

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
061.560  000.408  000.408: require('luasnip.util.jsregexp')
061.563  000.447  000.039: require('luasnip.nodes.util.trig_engines')
061.575  000.847  000.101: require('luasnip.nodes.snippet')
061.576  000.886  000.039: require('luasnip.nodes.duplicate')
061.577  000.924  000.038: require('luasnip.loaders.snippet_cache')
061.581  000.977  000.053: require('luasnip.loaders.from_snipmate')
061.801  000.039  000.039: require('luasnip.util.parser.neovim_ast')
061.839  000.037  000.037: require('luasnip.util.str')
062.065  000.224  000.224: require('luasnip.util.jsregexp')
062.067  000.345  000.044: require('luasnip.util.parser.ast_utils')
062.115  000.047  000.047: require('luasnip.nodes.functionNode')
062.164  000.048  000.048: require('luasnip.nodes.choiceNode')
062.240  000.076  000.076: require('luasnip.nodes.dynamicNode')
062.280  000.039  000.039: require('luasnip.util.functions')
062.293  000.621  000.066: require('luasnip.util.parser.ast_parser')
062.387  000.094  000.094: require('luasnip.util.parser.neovim_parser')
062.391  000.758  000.043: require('luasnip.util.parser')
062.465  000.073  000.073: require('luasnip.nodes.snippetProxy')
062.563  000.096  000.096: require('luasnip.util.jsonc')
062.569  000.987  000.060: require('luasnip.loaders.from_vscode')
062.718  000.189: opening buffers
062.930  000.056  000.056: require('vim.version')
064.014  001.176  001.121: sourcing /Users/amer3107/.local/share/nvim/lazy/copilot.vim/autoload/copilot.vim
064.083  000.017  000.017: sourcing /Users/amer3107/.local/share/nvim/lazy/copilot.vim/autoload/copilot/util.vim
064.110  000.198: BufEnter autocommands
064.111  000.001: editing files in windows
1083.783  1019.672: VimEnter autocommands
1084.649  000.865: UIEnter autocommands
1084.651  000.003: before starting main loop
1085.360  000.709: first screen update
1085.364  000.004: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.114  000.104: event init
000.287  000.173: early init
000.676  000.389: locale set
000.737  000.061: init first window
001.185  000.448: inits 1
001.194  000.009: window checked
001.196  000.002: parsing arguments
001.790  000.053  000.053: require('vim.shared')
001.920  000.046  000.046: require('vim._options')
001.922  000.128  000.082: require('vim._editor')
001.924  000.255  000.073: require('vim._init_packages')
001.927  000.476: init lua interpreter
002.290  000.363: expanding arguments
002.312  000.022: inits 2
002.642  000.330: init highlight
